test,worker_num,deviation_n,interval,inefficiency
worker_num,1,5,1e3,0.0037572338113470685
worker_num,2,5,1e3,0.0036056963943036056
worker_num,3,5,1e3,0.006150893849106151
worker_num,4,5,1e3,0.006585193414806585
worker_num,5,5,1e3,0.00708009291990708
worker_num,10,5,1e3,0.006362993637006363
worker_num,15,5,1e3,0.00512069487930512
worker_num,20,5,1e3,0.004201595798404202
worker_num,25,5,1e3,0.0035248964751035247
worker_num,30,5,1e3,0.003231996768003232
worker_num,35,5,1e3,0.0027572972427027573
worker_num,40,5,1e3,0.0026865973134026864
worker_num,45,5,1e3,0.0025451974548025454
worker_num,50,5,1e3,0.002221997778002222
worker_num,60,5,1e3,0.0020502979497020505
worker_num,70,5,1e3,0.0018684981315018685
worker_num,80,5,1e3,0.00201999798000202
worker_num,90,5,1e3,0.001727098272901727
worker_num,100,5,1e3,0.001413998586001414
worker_num,120,5,1e3,0.001626098373901626
worker_num,140,5,1e3,0.0014240985759014241
worker_num,160,5,1e3,0.001403898596101404
worker_num,180,5,1e3,0.0011614988385011615
worker_num,200,5,1e3,0.001121098878901121
worker_num,250,5,1e3,9.99899000101e-4
worker_num,300,5,1e3,9.897990102009898e-4
worker_num,350,5,1e3,9.08999091000909e-4
worker_num,400,5,1e3,9.08999091000909e-4
worker_num,450,5,1e3,7.271992728007272e-4
worker_num,500,5,1e3,8.281991718008282e-4
worker_num,600,5,1e3,7.06999293000707e-4
worker_num,700,5,1e3,6.160993839006161e-4
worker_num,800,5,1e3,7.473992526007474e-4
worker_num,900,5,1e3,6.160993839006161e-4
worker_num,1e3,5,1e3,6.463993536006464e-4
interval,50,5,987.7045036148601,0.0023825898123230934
interval,50,5,2000.4168229864551,9.946919527453614e-4
interval,50,5,3039.436279116881,6.147932039902789e-4
interval,50,5,4106.166162403335,4.083435408177764e-4
interval,50,5,5202.125129927913,2.2911714328338248e-4
interval,50,5,6328.960208595764,2.3460801429132764e-4
interval,50,5,7488.461683525858,1.5781642354757496e-4
interval,50,5,8682.580209513104,1.5937915360916648e-4
interval,50,5,9913.446556183251,9.577751487492919e-5
interval,50,5,11183.394488766462,8.309503315716866e-5
interval,50,5,12494.987401686098,6.709707132538635e-5
interval,50,5,13851.04946871335,6.344511816043832e-5
interval,50,5,15254.702261164155,5.760729018654392e-5
interval,50,5,16709.40802799915,3.929293524243915e-5
interval,50,5,18219.02114731303,3.548275492526306e-5
interval,50,5,19787.84967344428,3.522192409488353e-5
interval,50,5,21420.729454254488,3.4894760439742305e-5
interval,50,5,23123.114031006324,2.9704722533057255e-5
interval,50,5,24901.18453383968,2.1904674137866358e-5
interval,50,5,26761.98515923539,2.264623924404153e-5
interval,50,5,28713.591726012673,1.8292754264665442e-5
interval,50,5,30765.3235015147,2.1997670680970995e-5
interval,50,5,32928.01235232573,1.7792048375498985e-5
interval,50,5,35214.34890592367,1.8931622338413475e-5
interval,50,5,37639.333778581065,1.3954846245763245e-5
interval,50,5,40220.87462408392,1.305916917652436e-5
interval,50,5,42980.58948356197,1.3865752018255238e-5
interval,50,5,45944.90836971085,1.2091749747259688e-5
interval,50,5,49146.616676652295,8.221106577564614e-6
interval,50,5,52627.07175623749,1.285966243658615e-5
interval,50,5,56439.478948410484,7.874694403650637e-6
interval,50,5,60653.899574723546,7.660607052579731e-6
interval,50,5,65365.22100097889,5.099543964261534e-6
interval,50,5,70706.47670595977,7.571481362092789e-6
interval,50,5,76872.5038990501,7.095564747680083e-6
interval,50,5,84165.3661708083,5.640644443007444e-6
interval,50,5,93091.10822337671,5.316823135353383e-6
interval,50,5,104598.39112144796,5.987300710555293e-6
interval,50,5,120816.99544577446,3.7622610365536153e-6
interval,50,5,148542.88266817227,2.3800205488097e-6
deviation_n,50,1,1e3,0.1364003635996364
deviation_n,50,2,1e3,0.0628017371982628
deviation_n,50,3,1e3,0.022411877588122412
deviation_n,50,4,1e3,0.007403292596707404
deviation_n,50,5,1e3,0.002535097464902535
deviation_n,50,6,1e3,6.362993637006363e-4
deviation_n,50,7,1e3,2.726997273002727e-4
deviation_n,50,8,1e3,7.06999293000707e-5
deviation_n,50,9,1e3,3.02999697000303e-5
deviation_n,50,10,1e3,0
deviation_n,50,12,1e3,0
deviation_n,50,14,1e3,0
deviation_n,50,16,1e3,0
deviation_n,50,18,1e3,0
deviation_n,50,20,1e3,0
deviation_n,50,24,1e3,0
deviation_n,50,28,1e3,0
deviation_n,50,32,1e3,0
deviation_n,50,36,1e3,0
deviation_n,50,40,1e3,0
